name	cost	mv	type	colors	cube_color	section	colorshift	role	in_block	elo	edh	dead	strong	errata	oob	sets	archetypes	note
Forgotten Ancient	{3}{G}	4	Creature — Elemental	G	G	Mono-G		Counter engine + mover for Smokestack endurance	ONS-block	1294	394	0	0	0	0	ARC, BLC, C15, C16, C21, CM2, CN2, DMR, E01, FIC, HOP, J25, MOC, NCC, NEC, PLST, SCG, SLD, SOC		Core counter-mover; spreads to dodge Smokestack sac.
Heedless One	{3}{G}	4	Creature — Elf Avatar	G	G	Mono-G		Elf-count beater payoff for flood	ONS-block	1103	15954	0	0	0	0	DD1, EVG, ONS, PSAL		Grows with Elf flood; fragile, dies to removal.
Krosan Beast	{3}{G}	4	Creature — Squirrel Beast	G	G	Mono-G		Threshold payoff; 8/8 when active	ODY-block	1240	19182	0	0	0	0	ODY, SLD		Huge threshold body; whiffs pre-threshold.
Nantuko Cultivator	{3}{G}	4	Creature — Insect Druid	G	G	Mono-G		Discards lands for counters + cards	ODY-block	1209	12932	0	0	0	0	J21, J22, MH1, OTC, TOR		Counters + card flow; flood-glut fixer.
Phantom Centaur	{2}{G}{G}	4	Creature — Centaur Spirit	G	G	Mono-G		Pro-black counter-shield beater	ODY-block	1226	26030	0	0	0	0	JUD, PLST, TD0, WC02, WC03		Resilient 6/4-equiv vs black; grind endurance.
Quarry Hauler	{3}{G}	4	Creature — Camel	G	G	Mono-G		Counter doubler/mover ETB; Smokestack tech	Out-exception	1085	25419	0	0	0	1	AKH, AKR		Out-exception: explicit counter-mover named in brief; doubles/strips counters.
Springing Tiger	{3}{G}	4	Creature — Cat	G	G	Mono-G		Threshold body; solid honest beater	ODY-block	1127	30041	0	0	0	0	ODY		3/3 to 5/5 with threshold; reliable curve filler.
Symbiotic Elf	{3}{G}	4	Creature — Elf	G	G	Mono-G		Death-flood: two Insects on death	ONS-block	1145	27879	0	0	0	0	ONS, TD2		Three bodies for Opposition; trades up to tokens.
Wirewood Channeler	{3}{G}	4	Creature — Elf Druid	G	G	Mono-G		Elf-count mana battery; fuels big-X + High Tide	ONS-block	1228	3557	0	0	0	0	KHC, LGN, PLST, PSAL		Burst ramp scaling with flood; X-spell fuel.
Metamorphic Wurm	{3}{G}{G}	5	Creature — Elephant Wurm	G	G	Mono-G		Threshold beater payoff	ODY-block	1223	25818	0	0	0	0	ODY		7/7 with threshold; mid threshold payoff.
Saproling Burst	{4}{G}	5	Enchantment	G	G	Mono-G		Fading-counter token engine (green fade payoff; proliferate-able)	N/A	1348	18369	0	0	0	0	NEM, VMA, WC00, WC01	fading;proliferate;tokens	Green fading payoff; proliferate adds fade counters = more/bigger Saprolings
Voice of the Woods	{3}{G}{G}	5	Creature — Elf	G	G	Mono-G		Elf-flood payoff: tap five Elves for 7/7	ONS-block	1200	15121	0	0	0	0	DD1, EVG, J25, KHC, ONS, PSAL		Slow Elf-flood payoff; rewards wide board.
Glowering Rogon	{5}{G}	6	Creature — Beast	G	G	Mono-G		Amplify fatty; counter pile mover target	ONS-block	1131	30275	0	0	0	0	LGN		Big Amplify body; honest top-end Beast.
Nut Collector	{5}{G}	6	Creature — Human Druid	G	G	Mono-G		Squirrel token engine; threshold anthem for flood	ODY-block	1228	7910	0	0	0	0	DMR, ODY, PLST		Squirrel flood for Opposition GW; threshold anthem.
Symbiotic Beast	{4}{G}{G}	6	Creature — Insect Beast	G	G	Mono-G		Death-flood: four Insects; Amplify reveal	ONS-block	1128	19805	0	0	0	0	DMR, ONS, PLST		Five bodies; doubles as Beast card for Amplify.
Barbarian Ring		0	Land		R	Mono-R		threshold burn land (in-block)	N/A	1219	4819	0	0	0	0	MH3, ODY, PD2, PLST	aggro;gy-storm	R + self-ping; threshold 2 dmg any target
Forgotten Cave		0	Land		R	Mono-R		cycling land (discard synergy)	N/A	1184	811	0	0	0	0	40K, BLC, C13, C14, C15, C18, C19, C20, C21, CM2, CMA, CMD, CMR, DD1, DDJ, DDT, EVG, HA2, J22, J25, M3C, MH1, ONC, ONS, PLST, TD0, VMA	gy-storm	R source; cycling fuels Faith of the Devoted/Containment
Burning Inquiry	{R}	1	Sorcery	R	R	Mono-R		symmetric random discard outlet	N/A	1256	3448	0	0	0	0	M10, PLST	gy-storm;madness	1-mana fill GY for both; chaos enabler
Faithless Looting	{R}	1	Sorcery	R	R	Mono-R		discard outlet + flashback	N/A	1395	94	0	0	0	0	BRC, C14, C15, C19, C21, CM2, CMM, DDK, DKA, DMC, EMA, INR, LCC, LTC, M3C, MB2, OTC, PIDW, PLST, PZ1, SIS, SLD, SOC, STA, TDC, UMA	gy-storm	Cheap loot, flashback = 2 discards; storm/GY enabler
Goblin Bookie	{R}	1	Creature — Goblin	R	R	Mono-R		Coin-flip / die reroll enabler (luck-theme support)	Out-exception	1170		0	0	0	1	UGL		Out-exc + SILVER-BORDER (UGL); reroll engine for coin-flip theme. Likely cut unless un-cards allowed.
Goblin Sledder	{R}	1	Creature — Goblin	R	R	Mono-R		Goblin sac outlet; combat trick / death-trigger enabler	ONS-block	1143	11082	0	0	0	0	DD1, EVG, ONS, WC03		Free sac outlet; pumps +1/+1, triggers death payoffs. ONS original.
Mana Clash	{R}	1	Sorcery	R	R	Mono-R		Coin-flip burn (repeat-flip damage); cheap flip generator	N/A	1135	8303	0	0	0	0	4BB, 4ED, 5ED, 7ED, 8ED, 9ED, DRK, REN	burn;coin-flip	Many flips per cast = lots of Chance Encounter luck counters; swingy but low power
Skirk Prospector	{R}	1	Creature — Goblin	R	R	Mono-R		Goblin sac outlet → ritual mana; fuels mana sinks	ONS-block	1212	1341	0	0	0	0	DD1, DDG, DMR, DOM, EVG, ONS, PLST, SLD, VMA, WC03		Sac-a-Goblin for {R}; engine for RG mana sinks. ONS original (missed by TSV reprint filter).
Warbreak Trumpeter	{R}	1	Creature — Goblin	R	R	Mono-R		Morph mana sink → X Goblin tokens (late-game payoff)	ONS-block	1223	21414	0	0	0	0	LGN		{X}{X}{R} unmorph = X Goblins; scalable token mana sink. Low power early.
Braid of Fire	{1}{R}	2	Enchantment	R	R	Mono-R		Big-red mana engine / cumulative-upkeep age-counter payoff (#1 headliner)	N/A	1283	4135	0	0	0	0	CSP, PLST, SLD	big-red mana sink;cumulative-upkeep/age;proliferate	User #1 card: age counters add R each upkeep; proliferate grows the pool
Cathartic Reunion	{1}{R}	2	Sorcery	R	R	Mono-R		discard outlet (bulk)	N/A	1329	1050	0	0	0	0	2XM, ACR, ECC, IKO, KLD, KLR, PLST, SLD, SS3, TLE	gy-storm	Discard 2 draw 3; big GY/threshold filler
Comet Storm	{X}{R}{R}	2	Instant	R	R	Mono-R		Multikicker big-red X mana sink (honest spent payoff)	N/A	1217	1415	0	0	0	0	C15, C17, C20, CMA, CMD, CMR, MM2, P10, PRM, PWWK, WWK	big-red mana sink;burn	Cast-and-spent X-sink for Braid of Fire's surplus; scales but fragile
Dwarven Blastminer	{1}{R}	2	Creature — Dwarf	R	R	Mono-R		Nonbasic-land hate (prison hoser vs Islands plan)	ONS-block	1144	12826	0	0	0	0	ONS, PLST		Morph dwarf; recurring nonbasic LD answers High Tide/Island prison.
Goblin Bomb	{1}{R}	2	Enchantment	R	R	Mono-R		Coin-flip fuse near-win (5 fuse → 20 dmg); flip + counter payoff	N/A	1105	12438	0	0	0	0	WTH	alt-win;coin-flip;fuse counters;proliferate	Flip-fueled 20-damage kill; proliferate or Krark's Thumb accelerate fuses
Goblin Festival	{1}{R}	2	Enchantment	R	R	Mono-R		Coin-flip repeatable ping (flip support for the luck package)	N/A	1120	17509	0	0	0	0	UDS	burn;coin-flip	Repeatable {2} flip-source feeds Chance Encounter; risk of losing it = decisions
Goblin Lookout	{1}{R}	2	Creature — Goblin	R	R	Mono-R		Goblin sac outlet → team pump (aristocrats finisher)	ONS-block	1162	9574	0	0	0	0	LGN		Repeatable sac-for-pump; alpha-strike enabler in goblin token decks.
Grapeshot	{1}{R}	2	Sorcery	R	R	Mono-R		Alt storm kill (R) — 1 damage per prior spell to any target	N/A	1356	714	0	0	0	0	DDS, DMR, MMA, MSC, PLST, SLD, STA, TSP, TSR	adnauseam-storm;storm	R-splash storm finisher; redundant with Tendrils — pick one in singleton final cut
Pardic Miner	{1}{R}	2	Creature — Dwarf	R	R	Mono-R		Sac → one-sided Stone Rain (tempo/stax dwarf)	ODY-block	1234	23976	0	0	0	0	ODY		Sacrifice to deny a land drop; cheap disruptive body, sac-synergy.
Pyretic Ritual	{1}{R}	2	Instant	R	R	Mono-R		ritual (storm mana)	N/A	1300	827	0	0	0	0	M11, PLST, SLD, SOA	storm	+1 R; redundant storm accel
Smoke	{R}{R}	2	Enchantment	R	R	Mono-R		Red Winter Orb for creatures; static one-untap lock.	N/A	1113	6479	0	0	0	0	2ED, 30A, 3ED, 4BB, 4ED, 5ED, CED, CEI, FBB, LEA, LEB, ME4, SUM		Mono-R note: creature-untap lock; lives in Red, not colorless.
Sparksmith	{1}{R}	2	Creature — Goblin	R	R	Mono-R		Goblin-count removal engine (self-damage tension)	ONS-block	1205	19456	0	0	0	0	F03, ONS, PLST, PRM, WC03		Scales with Goblins; symmetric self-burn keeps it honest/low-power. ONS original.
Underworld Breach	{1}{R}	2	Enchantment	R	R	Mono-R		one-shot escape engine (judge #16)	N/A	1546	389	0	1	0	0	MB2, PRM, PTHB, PZA, SLD, SPG, THB	gy-storm;storm	Escape from GY; spent enchant but enables loops—flag
Barbarian Lunatic	{2}{R}	3	Creature — Human Barbarian	R	R	Mono-R		Sac outlet → 2 damage to a creature (removal body)	ODY-block	1094	28957	0	0	0	0	ODY		Self-sac for 2 damage; flexible aristocrat fodder + removal. Low power.
Fiery Gambit	{2}{R}	3	Sorcery	R	R	Mono-R		Coin-flip escalating payoff (flip until lose; tiered rewards)	N/A	1062	6700	0	0	0	0	MRD, PLST	burn;card advantage;coin-flip	Pure flip lottery; huge upside with Krark's Thumb; decision-rich push-your-luck
Fiery Temper	{1}{R}{R}	3	Instant	R	R	Mono-R		madness burn (in-block)	N/A	1363	7757	0	0	0	0	C19, DCI, F16, INR, J21, PLST, PRM, SIR, SOI, TOR, TSB, UMA	madness	TOR madness Shock+; premier red madness card
Game of Chaos	{R}{R}{R}	3	Sorcery	R	R	Mono-R		Coin-flip doubling life swing (push-your-luck)	N/A	1152	7490	0	0	0	0	5ED, ICE, PZ2	coin-flip;life-swing	Escalating flip duel; many flips for Chance Encounter; classic chaos
Goblin Sharpshooter	{2}{R}	3	Creature — Goblin	R	R	Mono-R		Repeatable ping engine; untaps on any death (sac synergy)	ONS-block	1280	3749	0	1	0	0	C13, ONS, PZ1, SLD, SPG, WC03		Strong engine (death-loops w/ Sledder). Prompt-named; watch power, may cut.
Goblin Warchief	{1}{R}{R}	3	Creature — Goblin Warrior	R	R	Mono-R		Goblin glue: cost reducer + haste anthem	ONS-block	1245	2135	0	0	0	0	DD1, DDN, DOM, EVG, F06, F16, J22, PLST, PRM, SCG, VMA, WC03		SCG-legal tribal enabler; tempo-positive. Borderline aggressive, monitor.
Hell-Bent Raider	{1}{R}{R}	3	Creature — Human Barbarian	R	R	Mono-R		discard-outlet beater (in-block)	ODY-block	1157	27932	0	0	0	0	TOR	aggro;gy-storm	Random-discard outlet; on-theme name, pro-white evasion
Lightning Storm	{1}{R}{R}	3	Instant	R	R	Mono-R		Line B kill (R) — discard drawn lands to scale X, burn opponent out	N/A	1200	21278	0	0	0	0	CSP, PLST	adnauseam-modern-draw-out;combo	R splash kill after drawing library; charge-counter sink fits counter theme
Molten Birth	{1}{R}{R}	3	Sorcery	R	R	Mono-R		Coin-flip token maker (win flip = recast); cheap flip + bodies	N/A	1197	10432	0	0	0	0	M14, PLST, UMA	coin-flip;tokens	Always makes 2 bodies; flip-to-rebuy = repeatable flips with no card loss
Seething Song	{2}{R}	3	Instant	R	R	Mono-R		ritual (storm mana)	N/A	1285	8740	0	0	0	0	SOS	storm	+2 R burst for storm turns
Squee, Goblin Nabob	{2}{R}	3	Legendary Creature — Goblin	R	R	Mono-R		recurring discard fuel	Out-exception	1304	4017	0	0	0	1	10E, C19, CMM, MB2, MMA, MMQ, SLC, SOC, UMA	gy-storm;madness	Out-exc: returns from GY each upkeep = infinite discard fodder
Thoughtbound Primoc	{2}{R}	3	Creature — Bird Beast	R	R	Mono-R		Cheap flyer / reach body; wizards-matter tension	ONS-block	1125	30479	0	0	0	0	ONS		Solid 2/3 flyer (air defense/reach); fun control-it-via-Wizards downside.
Volt Charge	{2}{R}	3	Instant	R	R	Mono-R		Red removal + proliferate (counter package in-color)	N/A	1281	7406	0	0	0	0	DDL, NPH, ONE	burn;counter alt-win;proliferate	Red burn that also proliferates; in-color counter accelerant for Chance Encounter
Wheel of Fortune	{2}{R}	3	Sorcery	R	R	Mono-R		wheel (premium)	N/A	1314	11685	0	0	0	0	SOC	storm;wheel	Each draws 7; ELO 1315 ok—fragile sorcery, no engine
Anger	{3}{R}	4	Creature — Incarnation	R	R	Mono-R		GY incarnation (haste anthem)	ODY-block	1274	351	0	0	0	0	AFC, CMA, CMD, DDI, FIC, JUD, LTC, M3C, PLST, PZ1, SLD, SOC, TD0, UMA, WC03	aggro;gy-storm	From GY = team haste; classic discard-to-GY payoff
Blistering Firecat	{1}{R}{R}{R}	4	Creature — Elemental Cat	R	R	Mono-R		One-shot 7-trample burst (honest aggro reach)	ONS-block	1162	17434	0	0	0	0	ONS		Self-sac one-attack Firecat; fragile burst, no lingering value. Morph too.
Bomb Squad	{3}{R}	4	Creature — Dwarf	R	R	Mono-R		In-block fuse-counter ticking removal (doubling fuses)	ODY-block	1127	18968	0	0	0	0	ODY	fuse counters;proliferate;removal	In-block (ODY) fuse engine; proliferate accelerates the bomb; high decision density
Chainflinger	{3}{R}	4	Creature — Beast	R	R	Mono-R		Repeatable pinger; threshold upgrade (graveyard payoff)	ODY-block	1160	30072	0	0	0	0	ODY		Mana-hungry ping; rewards threshold/graveyard theme. Low power.
Chance Encounter	{2}{R}{R}	4	Enchantment	R	R	Mono-R		Red counter alt-win (luck counters → 10 = win); coin-flip anchor	ODY-block	1129	6866	1	0	1	0	MH2, ODY, PLST	coin-flip;counter alt-win	In-block (ODY) red wincon; needs coin-flips + proliferate; errata per #12
Change of Fortune	{3}{R}	4	Sorcery	R	R	Mono-R		discard-then-draw payoff	N/A	1227	5867	0	0	0	0	DBL, PRM, PVOW, VOW	gy-storm;wheel	Empties hand then draws per discard; hellbent refuel
Dwarven Driller	{3}{R}	4	Creature — Dwarf	R	R	Mono-R		Repeatable land destruction (Sinkhole-on-a-stick)	ODY-block	1152	16915	0	0	0	0	JUD		Slow recurring LD with damage tax; supports prison/stax plan.
Embermage Goblin	{3}{R}	4	Creature — Goblin Wizard	R	R	Mono-R		Tutors its twin; slow repeatable ping	ONS-block	1192	27387	0	0	0	0	ONS		Singleton blunts tutor; honest slow pinger; wizards-matter glue.
Empty the Warrens	{3}{R}	4	Sorcery	R	R	Mono-R		Storm payoff making Goblins — board-presence storm, slower/fairer kill	N/A	1230	2524	0	0	0	0	AA2, DDS, DMR, MMA, PLST, SLD, SOA, TSP, TSR	adnauseam-storm;storm	Low-power storm: tokens not instant-kill; fits incremental small-games ethos
Fledgling Dragon	{2}{R}{R}	4	Creature — Dragon	R	R	Mono-R		Threshold flyer payoff + firebreathing (graveyard theme)	ODY-block	1222	20544	0	0	0	0	JUD, MH3		Tiny 2/2 until threshold → 5/5 firebreather flyer. Evasion + GY payoff, not a bomb.
Goblin Psychopath	{3}{R}	4	Creature — Goblin Mutant	R	R	Mono-R		Coin-flip beater (5/5 with self-damage risk)	ONS-block	1104	21886	0	0	0	0	J22, SCG		Big cheap body gated by coin flips; SCG-legal. Decision-intensive risk.
Goblin Traprunner	{3}{R}	4	Creature — Goblin	R	R	Mono-R		Coin-flip token maker on attack (luck + goblins)	Out-exception	1223	7814	0	0	0	1	MH2		Out-exc: only pure coin-flip Goblin token-maker; bridges luck+aristocrat themes.
Heart of Bogardan	{2}{R}{R}	4	Enchantment	R	R	Mono-R		Cumulative-upkeep age-counter time bomb (pay or it blows up)	N/A	1214	29239	0	0	0	0	WTH	big-red mana sink;cumulative-upkeep/age	Pay R-mana each upkeep or it nukes; ties Braid of Fire mana to a clock
Impulsive Maneuvers	{2}{R}{R}	4	Enchantment	R	R	Mono-R		In-block coin-flip combat doubler (flip per attacker)	ODY-block	1117	10573	0	0	0	0	ODY, PLST	coin-flip;combat	In-block (ODY) flip enchantment; many flips per combat for Chance Encounter
Magmatic Core	{2}{R}{R}	4	Enchantment	R	R	Mono-R		Cumulative-upkeep age-counter repeatable damage (Pyroclasm engine)	N/A	1252	28958	0	0	0	0	CSP	big-red mana sink;cumulative-upkeep/age	Growing board-wipe; age counters = damage; Braid of Fire pays the upkeep
Mine Layer	{3}{R}	4	Creature — Dwarf	R	R	Mono-R		Mine-counter land control (counters-matter / stax)	ODY-block	1154	18413	0	0	0	0	ODY		Mine-counter land denial; punishes tapping. Stax/counters theme dwarf.
Pardic Arsonist	{2}{R}{R}	4	Creature — Human Barbarian	R	R	Mono-R		Threshold beater w/ ETB burst (graveyard payoff)	ODY-block	1189	28892	0	0	0	0	TOR		Threshold gives ETB Lightning Bolt; honest graveyard-matters 3/3.
Violent Eruption	{1}{R}{R}{R}	4	Instant	R	R	Mono-R		madness burn (in-block)	N/A	1267	13994	0	0	0	0	C19, PLST, TOR	madness	TOR madness; 4 dmg split when discarded cheaply
Airdrop Condor	{4}{R}	5	Creature — Bird	R	R	Mono-R		Flyer + goblin sac-fling (reach via the air)	ONS-block	1150	28685	0	0	0	0	ONS		Evasive sac outlet; flings Goblin power to any target. Bird tribal bonus.
Reforge the Soul	{3}{R}{R}	5	Sorcery	R	R	Mono-R		wheel + miracle	N/A	1299	1713	0	0	0	0	AVR, C16, INR, PLST	wheel	Wheel; miracle off topdeck. Symmetric refuel
Savage Firecat	{3}{R}{R}	5	Creature — Elemental Cat	R	R	Mono-R		Signature RG mana-sink Firecat (counter mana-sink)	ODY-block	1190	29892	0	0	0	0	ODY		7 counters that drain as you tap lands — inverse mana sink; RG centerpiece.
Siege-Gang Commander	{3}{R}{R}	5	Creature — Goblin	R	R	Mono-R		Goblin payoff: 3 tokens + sac-to-burn reach finisher	ONS-block	1304	1572	0	0	0	0	10E, BLC, DD1, DMR, DOM, EMA, EVG, GNT, LTC, M10, ONC, PDOM, PLST, SCG, TDC, WC03		Iconic goblin top-end; SCG-legal. High elo — strongest red body, monitor.
Skirk Fire Marshal	{3}{R}{R}	5	Creature — Goblin	R	R	Mono-R		Goblin board-reset / lock-break (pro-red, taps 5 Goblins)	ONS-block	1161	12448	0	0	0	0	DD1, EVG, ONS, PLST		Fragile mass-burn reset; needs 5 Goblins. Honest stall-breaker.
Mirror March	{5}{R}	6	Enchantment	R	R	Mono-R		Coin-flip token-copy engine (flip per creature ETB)	N/A	1220	3912	0	1	0	0	PLST, PRNA, RNA	coin-flip;tokens	Flagged too_strong per #4: camps board, repeated free copies each ETB; user judges
Risky Move	{3}{R}{R}{R}	6	Enchantment	R	R	Mono-R		In-block chaos coin-flip (donate-and-flip control swing)	ONS-block	1162	11687	0	0	0	0	ONS, PLST	chaos;coin-flip;politics	In-block (ONS) every-upkeep flip; generates luck counters table-wide; chaotic
Crazed Firecat	{5}{R}{R}	7	Creature — Elemental Cat	R	R	Mono-R		In-block coin-flip body (flip until lose → +1/+1 counters)	ODY-block	1208	17822	0	0	0	0	TOR	+1/+1 counters;coin-flip	In-block (TOR) flip body; ETB flips feed Chance Encounter; proliferate-able
Goblin Dynamo	{5}{R}{R}	7	Creature — Goblin Mutant	R	R	Mono-R		Top-end mana sink: ping then sac for X burn finisher	ONS-block	1164	27040	0	0	0	0	LGN		Expensive X-burn mana sink for big-red; honest one-shot finisher.
Skittish Valesk	{6}{R}	7	Creature — Beast	R	R	Mono-R		In-block coin-flip upkeep body (morph + flip-down risk)	ONS-block	1107	26729	0	0	0	0	ONS	coin-flip;morph	In-block (ONS) recurring upkeep flip = steady Chance Encounter fuel; morph synergy
Aquitect's Will	{U}	1	Kindred Sorcery — Merfolk	U	U	Mono-U		Cheap flood-counter Islands-maker — repeatable denial vector via counter	N/A	1092	6849	0	0	0	0	DDT, LRW, PZ2	high-tide-prison	Flood-counter Island; additive (keeps mana online for you).
Careful Study	{U}	1	Sorcery	U	U	Mono-U		1-mana loot — digs to High Tide / fills yard for Brain Freeze flashback turns	ODY-block	1309	2795	0	0	0	0	ODY, PLST, SLD, WC02, WC03	free-spell-tempo;high-tide-prison	In-block (ODY) cheap dig + cheap storm count.
Gitaxian Probe	{U/P}	1	Sorcery	U	U	Mono-U		Free cantrip — +1 storm count for effectively 0 mana (Phyrexian U or 2 life)	N/A	1528	525	0	0	0	0	F12, MB2, NPH, PLST, PRM, SLD	adnauseam-storm	Free storm-count + cantrip; classic storm enabler, low standalone power
Hapless Researcher	{U}	1	Creature — Human Wizard	U	U	Mono-U		card-advantage	ODY-block	1196	20455	0	0	0	0	JUD		One-drop wizard + discard outlet; bin-fills then replaces itself
High Tide	{U}	1	Instant	U	U	Mono-U		Payoff / ritual engine — the archetype's namesake; doubles Island mana for a turn	N/A	1366	809	0	0	0	0	DMR, FEM, ME1, PIDW, VMA	free-spell-tempo;high-tide-prison	Namesake payoff. Islands-matter ritual; fuels free-spell chains.
Imagecrafter	{U}	1	Creature — Human Wizard	U	U	Mono-U		tempo	ONS-block	1129	14035	0	0	0	0	ONS		One-drop wizard tribal-type enabler; sets up type-matters payoffs
Mystic Remora	{U}	1	Enchantment	U	U	Mono-U		Cumulative-upkeep age-counter card-draw tax (cross-ref blue)	N/A	1525	96	0	0	0	0	DMR, ICE, ME1, SLD, TLE	card advantage;cumulative-upkeep/age	High elo but self-limiting via age counters; blue age-counter anchor
Mystic Speculation	{U}	1	Sorcery	U	U	Mono-U		Buyback scry-3 — repeatable selection + storm-count padder under High Tide	N/A	1264	7704	0	0	0	0	FUT, PLST	free-spell-tempo;high-tide-prison	Recurring cheap spell to set up + build storm count.
Prosperity	{X}{U}	1	Sorcery	U	U	Mono-U		one-shot symmetric draw X; stapled fill for Underworld Dreams / Vise kill	N/A	1220	3676	0	0	0	0	6ED, C13, OLEP, POR, TLE, VIS		Cast-and-spent enabler. With Underworld Dreams it's symmetric Sudden Inspiration.
Sea's Claim	{U}	1	Enchantment — Aura	U	U	Mono-U		Islands-maker — own-ramp + opponent land-denial (turn a dual into a mono Island)	ONS-block	1140	20456	0	0	0	0	9ED, ONS	high-tide-prison	Cheapest permanent Islands-maker. In-block (ONS). Ramp or denial.
Seal of Removal	{U}	1	Enchantment	U	U	Mono-U		Pre-placed bounce; cheap blue enchantment for enchantress/Replenish	Out-exception	1255	6593	0	0	0	0	MH2, NEM, PLST, WC00		1-mana blue enchantment; enchantress fuel, recurring tempo via Replenish
Tidal Warrior	{U}	1	Creature — Merfolk Warrior	U	U	Mono-U		Repeatable Island-maker body — denial/ramp engine on a stick	Out-exception	1157	16684	0	0	0	1	DDT, PLST, STH	high-tide-prison	Out-exception: rare repeatable Islands-maker creature for the theme.
Whispers of the Muse	{U}	1	Instant	U	U	Mono-U		Buyback cantrip — recurring storm fodder + late-game card engine	N/A	1218	14370	0	0	0	0	TMP, TPR, TSB, WC98	free-spell-tempo;high-tide-prison	Repeatable draw; cheap storm count once High Tide is up.
Aphetto Alchemist	{1}{U}	2	Creature — Human Wizard	U	U	Mono-U		card-advantage	ONS-block	1230	5118	0	0	0	0	ONS, PLST		Untaps tap-abilities (Looter twice); combo-y but no fast rocks here
Brain Freeze	{1}{U}	2	Instant	U	U	Mono-U		Mill-storm — deck opponent out, or self-mill toward Labman/Jace	N/A	1502	791	0	0	0	0	MB2, PLST, SCG, SLC, SLD, SOA, VMA	adnauseam-storm;free-spell-tempo;high-tide-prison;mill-storm;self-mill-deck-out	U storm kill (mill); also self-empties library for the draw-out payoffs
Braingeyser	{X}{U}{U}	2	Sorcery	U	U	Mono-U		Classic big-X draw — sorcery-speed High-Tide payoff / mana sink	N/A	1471	11654	0	0	0	0	2ED, 30A, 3ED, CED, CEI, FBB, LEA, LEB, ME4, PRM, SUM	free-spell-tempo;high-tide-prison	Old-school X-draw payoff; redundant w/Stroke, surplus pick.
Cephalid Illusionist	{1}{U}	2	Creature — Octopus Wizard	U	U	Mono-U		mill-enabler	ODY-block	1271	15367	0	0	0	0	PLST, TOR		Core self-mill engine: target it repeatedly to mill, feeds BR + Lab Maniac
Cephalid Vandal	{1}{U}	2	Creature — Octopus Rogue	U	U	Mono-U		mill-enabler	ODY-block	1124	20633	0	0	0	0	TOR		Signature escalating self-mill clock; slow build to threshold/storm fuel
Cloud of Faeries	{1}{U}	2	Creature — Faerie	U	U	Mono-U		Free creature — untaps 2 lands, cycles; the canonical free-spell body	Out-exception	1277	1386	0	0	0	1	DMR, MOC, ULG, VMA, WOC	free-spell-tempo;high-tide-prison	Out-exception: iconic free flyer; refunds mana, cycles if dead.
Compulsion	{1}{U}	2	Enchantment	U	U	Mono-U		Looter that fills GY for Replenish; also sac-draw	ODY-block	1209	13061	0	0	0	0	PLST, TOR, WC03, WOT		In-block (TOR). Discards enchantments into GY for Replenish; itself recurs
Convincing Mirage	{1}{U}	2	Enchantment — Aura	U	U	Mono-U		Flexible type-changer — Island for you / off-color denial vs opponent	N/A	1112	26111	0	0	0	0	M10	high-tide-prison	Choose Island for ramp, or strand opponent's nonbasic.
Escape Artist	{1}{U}	2	Creature — Human Wizard	U	U	Mono-U		tempo	ODY-block	1247	20273	0	0	0	0	ODY		Unblockable wizard, discard outlet + self-bounce for ETB reuse
Hatching Plans	{1}{U}	2	Enchantment	U	U	Mono-U		Self-binning enchantment that draws 3 when destroyed; Seal/sweeper synergy	Out-exception	1285	18813	0	0	0	0	GPT, WOT		Feeds GY for Replenish AND draws; great w/ self-Disenchant (Seal/Aura of Silence)
Information Dealer	{1}{U}	2	Creature — Human Wizard	U	U	Mono-U		card-advantage	ONS-block	1127	17904	0	0	0	0	ONS		Repeatable scry-stacking wizard; scales with wizard count, no card adv
Lingering Mirage	{1}{U}	2	Enchantment — Aura	U	U	Mono-U		Islands-maker with cycling — flexible (denial enabler or pitch late)	N/A	1165	23035	0	0	0	0	USG	high-tide-prison	Islands-maker that cycles if you don't need the lock.
Mana Severance	{1}{U}	2	Sorcery	U	U	Mono-U		Lab Maniac enabler — strip all lands so a big draw decks YOU into the win	N/A	1154	14671	0	0	0	0	TMP	high-tide-prison	Thins lands so Stroke/Braingeyser + Labman draws you out to win.
Merchant Scroll	{1}{U}	2	Sorcery	U	U	Mono-U		Tutor — fetches High Tide / Brain Freeze / a free spell; consistency glue	N/A	1306	2583	0	0	0	0	8ED, HML, J18, MB2, PRM	free-spell-tempo;high-tide-prison	Finds High Tide, Brain Freeze, Snap, Turnabout. Combo glue.
Phantasmal Terrain	{U}{U}	2	Enchantment — Aura	U	U	Mono-U		Type-changer — old-school denial (strand a basic) or own Island	N/A	992	24078	0	0	0	0	2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, CED, CEI, FBB, INV, LEA, LEB, ME4, SUM	high-tide-prison	Properly-old denial. Redundant with Convincing Mirage; surplus.
Reality Spasm	{X}{U}{U}	2	Instant	U	U	Mono-U		Scalable untap — untap X lands as a flexible High-Tide ritual or tap-down	N/A	1226	10859	0	0	0	0	ROE	free-spell-tempo;high-tide-prison	Untap-X-lands ritual; flexible w/ High Tide, also a tempo tap.
Reset	{U}{U}	2	Instant	U	U	Mono-U		Untap-all-lands ritual — huge mana burst with High Tide (Reserved-adjacent jank)	N/A	1186	13748	0	0	0	0	LEG, MB2, ME3	free-spell-tempo;high-tide-prison	Untap all lands; explosive w/ High Tide. Opp-turn restriction.
